Имя,С единственным автором,В соавторстве,Количество вариантов имён (single),Количество вариантов имён (multiple),Варианты имён (single),Картинки,Варианты имён (multiple)
Каменская А.,1,0,1,0,Каменская,-,-
Канцелярия попечителя Кавказского учебного округа,1,0,1,0,Канцелярия попечителя,-,-
Каплун Артур Абрамович,1,0,1,0,Каплун,-,-
Каплынь Н.,1,0,1,0,Каплынь,-,-
Карбышева Е.,5,0,1,0,Карбышева,-,-
Каров В.,1,0,1,0,Каров,-,-
Карпинская Е.,1,0,1,0,Карпинская,-,-
Карпова Наталия Петровна,12,0,1,0,Карпова,-,-
Катанов Николай Федорович,3,0,1,0,Катанов,-,-
Катанский С.А.,1,0,1,0,Катанский,-,-
Кащегулов,0,2,0,2,-,7928:1514,"Лаптев, Коншин и др"
-,-,-,-,-,-,7928:1536,"Лаптев, Коншин"
Квитковская С.,2,0,1,0,Квитковская,-,-
Квятковская А.Ф.,3,0,1,0,Квятковская А,-,-
Келер Е.,1,0,1,0,Келер,-,-
Кетриц Бернард Эрнестович,5,0,2,0,Кетриц,-,-
-,-,-,-,-,Кетрин,-,-
Киврин Н.,2,0,1,0,Киврин,-,-
Кириллов Николай Васильевич,1,0,1,0,Кириллов,-,-
Киселев Иван Гаврилович,0,1,0,1,-,7928:2745,Киселевы
Киселева Ольга,8,1,1,1,Киселева О,7928:2745,Киселевы
Клапаре Артур де,1,0,1,0,Клапаре,-,-
Клеменц Дмитрий Александрович,7,2,1,2,Клеменц,7928:1665,Клеменцы
-,-,-,-,-,-,7928:1495,"Клеменц, Корбут и др"
Клеменц Елена Григорьевна,1,0,1,0,Клеменц Елена,-,-
Клеменц Елизавета Николаевна,1,3,1,3,Клеменц Е,7928:1487,"Белозерова, Клеменц, Педашенко"
-,-,-,-,-,-,7928:1665,Клеменцы
-,-,-,-,-,-,7928:1495,"Клеменц, Корбут и др"
Клеменцы,0,1,0,1,-,7928:1464,"Клеменцы, Ошурковы"
Клименская З.,1,0,1,0,Клименская,-,-
Климентова З.,1,0,1,0,Климентова,-,-
Клич/Кляв И.,5,0,2,0,Кляв,-,-
-,-,-,-,-,Клич,-,-
Клишевич Н.П.,1,0,1,0,Клишевич,-,-
Княгинина Е.,1,0,1,0,Княгинина,-,-
Кобычев Александр Александрович,4,0,1,0,Кобычев,-,-
Кобьетев Иван,1,0,1,0,Кобьетев,-,-
Коваленкова Е.Е.,1,0,1,0,Коваленкова,-,-
Ковригин С.,1,0,1,0,Ковригин,-,-
Кожевников Г.,0,1,0,1,-,7928:2355,Жуковский и Кожевников
Козлов Иван Савельевич,1,3,1,3,Козлов И,7928:2468,Достоевский и другие
-,-,-,-,-,-,7928:2838,"Достоевский, Козлов и др"
-,-,-,-,-,-,7928:2371,Крутовский и Козлов
Козлова Елизавета Митрофановна,12,0,2,0,Козлова Е,-,-
-,-,-,-,-,Козлова,-,-
Козьмин Николай Николаевич,21,0,1,0,Козьмин,-,-
Козьмина (Яковлева) Калерия Александровна,13,0,1,0,Козьмина,-,-
Коломейцев А.Ф.,2,0,1,0,Коломейцев,-,-
Коломенкина М.А.,1,0,1,0,Коломенкина,-,-
Колосова Антонина,1,0,1,0,Колосова,-,-
Колпинский А.,1,0,1,0,Колпинский,-,-
Колубовский Яков Николаевич,1,0,1,0,Колубовский,-,-
Кольберг-Дюзоте А.,1,0,1,0,Кольберг,-,-
Комарова Н.П.,1,0,1,0,Комарова,-,-
Комиссия для пособия нуждающимся ученым,1,0,1,0,Комиссия пособия,-,-
Комиссия по организации Первого общесибирского съезда учителей и деятелей по народному образованию в Томске,1,0,1,0,Съезд учителей,-,-
Комиссия по организации научно-популярных лекций при Обществе попечения о начальном образовании,1,0,1,0,Комиссия лекций,-,-
Комитет общества пособия учащимся сибирякам,1,0,1,0,Общество пособия сибирякам,-,-
Конев О.,0,1,0,1,-,7928:2334,Сссыльные
Конкин В.А.,2,0,1,0,Конкин,-,-
Коновалов П.К.,1,0,1,0,Коновалов,-,-
Коншин Николай Яковлевич,3,4,1,3,Коншин,7928:1514,"Лаптев, Коншин и др"
-,-,-,-,-,-,7928:1536,"Лаптев, Коншин"
-,-,-,-,-,-,"7928:2369, 7928:2370",СП РГО
Конько Д.,1,0,1,0,Конько,-,-
Корб Макс,1,0,1,0,Корб,-,-
Корбут Евгения,1,1,1,1,Корбут Е,7928:1495,"Клеменц, Корбут и др"
Корбут-Григорьева А.,1,0,1,0,Корбут-Григорьева,-,-
Коренев Федор Хрисанфович,1,0,1,0,Коренев,-,-
Коржинский Сергей Иванович,8,0,1,0,Коржинский,-,-
Корнилов Александр Александрович,1,1,1,1,Корнилов,7928:1501,Корниловы
Корнилов Иннокентий Григорьевич,2,0,1,0,Корнилов,-,-
Корнилова Наталья Антиповна,3,1,1,1,Корнилова,7928:1501,Корниловы
Коровин В.,1,0,1,0,Коровин,-,-
Королевец П.,1,0,1,0,Королевец,-,-
Коротков А.,1,0,1,0,Коротков,-,-
Корш Иван,1,0,1,0,Корш,-,-
Космаков И.,1,0,1,0,Космаков,-,-
Костко З.К.,1,0,1,0,Костко,-,-
Костромина В.С.,1,0,1,0,Костромина,-,-
Костюрин Виктор Федорович,8,0,1,0,Костюрин,-,-
Костюрина Мария Николаевна,13,0,1,0,Костюрина,-,-
Косягин Н.,0,2,0,1,-,"7928:2349, 7928:2350",Трапезников и Косягин
Красин Герман Борисович,2,0,1,0,Красин,-,-
Красноженова Мария Васильевна,16,0,1,0,Красноженова,-,-
Красноярский подотдел Восточно-Сибирского отдела Императорского Русского географического общества,0,1,0,1,-,7928:2427,Ошурков
Красноярский подотдел Императорского Русского географического общества,1,0,1,0,Красноярский подотдел РГО,-,-
Кричевцова У.С.,2,0,1,0,Кричевцова,-,-
Кроль Моисей Аронович,6,0,1,0,Кроль,-,-
Круковский Михаил Антонович,10,0,1,0,Круковский,-,-
Крутова Е.,1,0,1,0,Крутова,-,-
Крутовская Лидия Симоновна,29,3,1,1,Крутовская,"7928:1775, 7928:1808, 7928:1809",Крутовские
Крутовский Владимир Михайлович,46,4,1,2,Крутовский,"7928:1775, 7928:1808, 7928:1809",Крутовские
