Имя,Число изображений,Количество вариантов имён,Варианты имён
Личков Леонид Семенович,2,1,Личков
Личкова А.,2,1,Личкова
Лобынцова Домна,2,1,Лобынцова
Лобышев А.,1,1,Лобышев
Лозинская Н.,1,1,Лозинская
Лонгиновский Карп Дмитриевич,7,1,Лонгиновский
Лопарев Хрисанф Мефодиевич,4,1,Лопарев
Лопатин Иннокентий Александрович,3,1,Лопатин
Лосев В.,2,2,"Лосев В, Лосев"
Лосева Е.,2,2,"Лосева, Лосева Е"
Лукашевич (Хмызникова) Клавдия Владимировна,1,1,Лукашевич
Лукин Леон,2,1,Лукин
Лумбунов Юмжат Лумбунович,1,1,Лумбунов
Лучинский Г.А.,1,1,Лучинский
Лушников & Казанцев & Попов Иван Иванович,1,1,"Лушников, Казанцев, Попов"
Лямина М.,3,1,Лямина
Ляпустин А.,1,1,Ляпустин
М.Ф.М.,1,1,М.Ф.М
Макаренко Алексей Алексеевич,3,1,Макаренко
Макарова А.,2,1,Макарова А
"Макар… И., священник",1,1,Макар
Макеров Яков Антонович,10,1,Макеров
Макеров Яков Антонович & Евреинов Анатолий & Головин Дмитрий,1,1,Макеров
Маковецкая Любовь Викторовна,3,1,Маковецкая
Маковецкий Николай Емельянович,1,1,Маковецкий
Максимов С.,1,1,Максимов
Максимович Карл Иванович,1,1,Максимович
Макушин Алексей Иванович,1,1,Макушин А
Макушин Петр Иванович,6,2,"Макушин, Макушин П"
Макушина Елизавета Петровна,10,2,"Макушина, Маакушина"
Малыгина Р.М.,7,1,Малыгина
Мамонтов,1,1,Мамонтов
Манухин Иван Иванович,1,1,Манухин
Мартьянов Николай Михайлович,1,1,Мартьянов
Масленникова А.,12,1,Масленникова
Маслов Дмитрий Иванович,13,1,Маслов
Матев Ал. М.,1,1,Матев
Матев Ал.М.,1,1,Матев
Матиясевич Николай С.,3,1,Матиясевич
Медведникова Г.,1,1,Медведникова
Мейнгард А.А.,1,1,Мейнгард
Мельник И.,5,1,Мельник
Менделеева Анна Ивановна,1,1,Менделеева
Мендельсон Николай Михайлович,29,1,Мендельсон
Мендельсон Николай Михайлович & Неустановленное лицо,2,1,Мендельсон
Метелкина Н.Ф.,4,1,Метелкина
Миклашевская (Лаврская) Софья Львовна,11,2,"Миклашевская, Миклашевская С"
Миклашевская (Лаврская) Софья Львовна & Лаврский Валериан Викторович,1,1,Миклашевская
Микулина-Иванова Надежда Ивановна,1,1,Иванова-Микулина
Миллер Всеволод Федорович,6,1,Миллер
Милорадова В.,1,1,Милорадова
Минаев А.,1,1,Минаев А
Минаева А.,1,1,Минаева
Минусинский городской Мартьяновский музей,1,1,Мартьяновский музей адрес 1915
Миролюбов Виктор Сергеевич,2,1,Миролюбов
Митропольская Н.,1,1,Митропольская
Михайлов А.,1,1,Михайлов А
Михайлов В. Константинович,1,1,Михайлов В
Михайлов Константин Прокофьевич,5,2,"Михайлов, Михайлов К"
Михайлова А.П.,1,1,Михайлова А
Михайлова Е.,1,1,Михайлова Е
Михайловский М.И.,1,1,Михайловский М
Михалев И.,1,1,Михалев
Михеев В.,1,1,Михеев
Михновский К.,1,1,Михновский
Мокиевская & Мокиевский П. & Выхарева & Юферова & Лихарева,1,1,Мокиевские и др
Мокиевский П.,1,1,Мокиевский
Монасевич З.,1,1,Монасевич
Монякова Елизавета Михайловна,1,1,Монякова
Морозова П.,1,1,Морозова
Московские сибиряки,1,1,Московские сибиряки
Мурзин П.,1,1,Мурзин
Муромов И.Г.,8,1,Муромов
Муромова,1,1,Муромова
Мыш Л.,1,1,Мыш
Мюллер Франц,1,1,Мюллер
Н.К. (Иркутск),4,1,Н.К
Наумов Иван,1,1,Наумов И
Наумов Николай Иванович,2,1,Наумов
Наумов Николай Николаевич,7,1,Наумов Н.Н
Наумова Татьяна Христофоровна,4,1,Наумова
Нежницкий А.,1,1,Нежницкий
Некрасов В.,1,1,Некрасов В
Некрасов В. & Скалозубов Николай Лукич,1,1,"некрасов, Скалозубов"
Некрелова Т.,1,1,Некрелова
Нестеров Андрей Павлович,1,1,Нестеров
Нестерова А.Д.,1,1,Нестерова
Неустановленное лицо,36,2,"Неустановленное лицо, "
Неустановленное лицо (ректор),1,1,Ректор
Неустановленное лицо (случайный сибиряк),1,1,
Неустановленное лицо (томский рабочий),1,1,
Неустановленное лицо из с. Огундай,1,1,
Неустроева Л.Н.,2,1,Неустроева
Никитин Е.В.,1,1,Никитин
Никифоров Николай Яковлевич,7,2,"Никифоров, Никифоров Н"
Никифоровский Николай Яковлевич,1,1,Никифоровский
Николева Маргарита Федоровна,5,1,Николева
Николева Маргарита Федоровна & Суфтина Мария Осиповна,1,1,Николева и Суфтина
Никулин Андрей Осипович,3,1,Никулин
Новомбергская Вера Алексеевна,7,1,Новомбергская
Новомбергский Николай Яковлевич,1,1,Новомбергский
Новомбергский Николай Яковлевич & Новомбергская Вера Алексеевна & Троицкий & Троицкая М. & Фоняков & Фонякова & Долин,1,1,"Новомбергские, Троицкие и др"
Номтоев Ринчен,1,1,Номтоев
Носилов Константин Дмитриевич,2,1,Носилов
Носкова Мария Гавриловна,1,1,Носкова
Обручев Владимир Афанасьевич,14,1,Обручев
Общество взаимных воспомоществований учащихся и учителей Томской губернии,1,1,Общество учащихся
Общество взаимопомощи книгопечатников,1,1,Общество книгопечатников
Общество врачей Восточной Сибири,1,1,Общество врачей
Общество врачей Енисейской губернии & Крутовский Владимир Михайлович & Козлов Иван Савельевич,1,1,Крутовский и Козлов
Общество для пособия нуждающимся литераторам и ученым,1,1,Общество пособия нуждающимся
Общество для пособия нуждающимся литераторам и ученым & Пантелеев Лонгин Федорович,1,1,Пантелеев
Общество для пособия нуждающимся литераторам и ученым & Пругавин А.,1,1,Пругавин
Общество любителей исследования Алтая,1,1,Общество изучения Алтая
Общество обывателей и избирателей,2,1,Общество обывателей
Общество попечения о начальном образовании & Соколов Е.О.,1,1,Соколов
Общество приказчиков,1,1,Общество приказчиков
Общество русских ориенталистов & Жуковский Р.,1,1,Общество ориенталистов
Общество содействия учащимся сибирякам,1,1,Общество содействия сибирякам
Общество содействия учащимся сибирякам & Сукачев Владимир Платонович,1,1,Сукачев
Окулич М.,8,1,Окулич
Окулич Николай Иванович,2,1,Окулич Н
Окунева А.,2,1,Окунева
Олигер Николай Фридрихович,4,1,Олигер
Ольденбург Сергей Федорович,5,1,Ольденбург
Оспотов,1,1,Оспотов
Островских Петр Евгеньевич,1,1,Островских
Острогорская Е.,2,1,Острогорская
Отелин С.,11,1,Отелин
"Отелин С., мадемуазель",1,1,Отелин
Ошурков Василий Александрович,10,1,Ошурков
Ошуркова А.,8,1,Ошуркова
Павлинов Николай Михайлович,1,1,Павлинов
Павлов Андрей Арсеньевич,2,1,Павлов А
Павлов Г.И.,1,1,Павлов Г
Палибин А.,1,1,Палибин А
Палибин Иван Владимирович,5,2,"Палибин И, Палибин"
Пантелеев Лонгин Федорович,19,1,Пантелеев
Пантелеев Лонгин Федорович & Пантелеева Серафима Васильевна,1,1,Пантелеевы
Пантелеева Серафима Васильевна,6,1,Пантелеева
Пареренова Екатерина,1,1,Пареренова
Патканов Серафим Керопович,1,1,Патканов
Пахоруков Е.Д.,1,1,Пахоруков
Певцов Михаил Васильевич,2,1,Певцов
Педашенко Агния Георгиевна,4,1,Педашенко А
Педашенко Александр Дмитриевич,2,2,"Педашенко А, Педашенко"
Педашенко-Третьякова Мария Ивановна,13,2,"Педашенко, Педашенко М"
Пеищев Л.,1,1,Пеищев
Передольский Владимир Васильевич,1,1,Передольский
Першин & Окунев & Инкилсинов & Барбаев & Михайлов & Бадмаев Петр Александрович & Барсуков & Трубачев & Холодов & Нинуханов & Малванов,1,1,Першин и другие
Першин (Даурский) Дмитрий Петрович,3,1,Першин Д
Першин Петр Иванович,1,1,Першин
Пешков П.,1,1,Пешков
Пизиков Василий Степанович,1,1,Пизиков
Пинягин И.,1,1,Пинягин
Пирожков Илья Иннокентьевич,1,1,Пирожков И
Пирожков Сократ Александрович,10,1,Пирожков
Писарева А.,2,1,Писарева А
Писарева А. & Уваровская Е.,1,1,Писарева и Уваровская
Писарева Евдокия Михайловна,1,1,Писарева Е
Подвинцева Анна Ивановна,2,1,Подвинцева
Позняк С.,1,1,Позняк
Позняков Николай Иванович,1,1,Позняков
Покровский В.,1,1,Покровский
Помощник почтдиректора Санкт-Петербургского почтамта,1,1,Помощник почтдиректора
